JF Mooney (Ire),2009-2015,27,10,26,1,176,10,2-Jul,17.6,6.76,15.6,0,0,T20,Bowling
PP Ojha (India),2009-2010,6,6,21,0,132,10,Apr-21,13.2,6.28,12.6,1,0,T20,Bowling
H Osinde (Can),2008-2013,11,11,35,0,250,10,Mar-36,25,7.14,21,0,0,T20,Bowling
Raza Hasan (Pak),2012-2014,10,10,38,1,219,10,Feb-14,21.9,5.76,22.8,0,0,T20,Bowling
KAJ Roach (WI),2008-2012,11,11,39,1,284,10,Feb-25,28.4,7.28,23.4,0,0,T20,Bowling
R Vinay Kumar (India),2010-2013,9,9,31.3,0,247,10,Mar-24,24.7,7.84,18.9,0,0,T20,Bowling
Amir Hamza (Afg),2013-2014,9,9,26.5,1,186,9,Mar-39,20.66,6.93,17.8,0,0,T20,Bowling
CJ Anderson (NZ),2012-2014,15,13,40,0,350,9,Feb-21,38.88,8.75,26.6,0,0,T20,Bowling
DE Bollinger (Aus),2011-2014,9,9,35,0,249,9,Jan-22,27.66,7.11,23.3,0,0,T20,Bowling
Elias Sunny (Ban),2012-2012,7,7,23,1,146,9,May-13,16.22,6.34,15.3,0,1,T20,Bowling
AC Evans (Scot),2015-2015,7,5,20,1,134,9,May-24,14.88,6.7,13.3,0,1,T20,Bowling
BW Hilfenhaus (Aus),2007-2012,7,7,26,0,161,9,Feb-15,17.88,6.19,17.3,0,0,T20,Bowling
CJ Jordan (Eng),2014-2014,7,7,22.2,0,181,9,Mar-39,20.11,8.1,14.8,0,0,T20,Bowling
RK Kleinveldt (SA),2008-2013,6,6,20.2,1,173,9,Mar-18,19.22,8.5,13.5,0,0,T20,Bowling
Nadeem Ahmed (HK),2014-2015,8,8,23.3,1,148,9,Apr-21,16.44,6.29,15.6,1,0,T20,Bowling
K Rabada (SA),2014-2015,8,8,29,0,227,9,Mar-30,25.22,7.82,19.3,0,0,T20,Bowling
Rizwan Cheema (Can),2008-2013,16,15,50,1,382,9,Feb-19,42.44,7.64,33.3,0,0,T20,Bowling
Wahab Riaz (Pak),2008-2015,10,10,28,1,208,9,Feb-24,23.11,7.42,18.6,0,0,T20,Bowling
I Wardlaw (Scot),2013-2013,4,4,16,1,145,9,Mar-40,16.11,9.06,10.6,0,0,T20,Bowling
Aizaz Cheema (Pak),2011-2012,5,5,17,0,116,8,Apr-30,14.5,6.82,12.7,1,0,T20,Bowling
U Bhatti (Can),2008-2010,7,7,23,0,148,8,Mar-23,18.5,6.43,17.2,0,0,T20,Bowling
CJ Chibhabha (Zim),2006-2015,23,12,27.5,0,216,8,Mar-18,27,7.76,20.8,0,0,T20,Bowling
SS Cottrell (WI),2014-2015,6,6,20.1,1,183,8,Mar-28,22.87,9.07,15.1,0,0,T20,Bowling
Fawad Alam (Pak),2007-2010,24,6,15,0,95,8,3-Jul,11.87,6.33,11.2,0,0,T20,Bowling
SP Gauchan (Nepal),2014-2015,9,8,30,0,169,8,3-Sep,21.12,5.63,22.5,0,0,T20,Bowling
Junaid Khan (Pak),2011-2014,9,9,27,0,236,8,Mar-24,29.5,8.74,20.2,0,0,T20,Bowling
Junaid Siddiqui (Can),2012-2013,8,8,29,1,180,8,3-Oct,22.5,6.2,21.7,0,0,T20,Bowling
P Kumar (India),2008-2012,10,10,26,1,193,8,Feb-14,24.12,7.42,19.5,0,0,T20,Bowling
MA Leask (Scot),2013-2015,10,5,17,0,119,8,Mar-20,14.87,7,12.7,0,0,T20,Bowling
WK McCallan (Ire),2008-2009,9,7,21.5,0,152,8,Feb-26,19,6.96,16.3,0,0,T20,Bowling
AF Milne (NZ),2010-2015,10,10,35.5,0,257,8,2-Oct,32.12,7.17,26.8,0,0,T20,Bowling
Mohammad Ashraful (Ban),2007-2013,23,8,23,0,210,8,Mar-42,26.25,9.13,17.2,0,0,T20,Bowling
Mohammad Irfan (Pak),2012-2015,12,12,38.4,0,276,8,Feb-25,34.5,7.13,29,0,0,T20,Bowling
MJG Rippon (Neth),2013-2015,12,12,31,1,214,8,3-Nov,26.75,6.9,23.2,0,0,T20,Bowling
Shafiul Islam (Ban),2010-2013,11,11,36.4,0,275,8,Feb-19,34.37,7.5,27.5,0,0,T20,Bowling
I Sharma (India),2008-2013,14,14,46.2,0,400,8,Feb-34,50,8.63,34.7,0,0,T20,Bowling
A Symonds (Aus),2005-2009,14,12,30.5,0,277,8,Feb-14,34.62,8.98,23.1,0,0,T20,Bowling
JJ van der Wath (SA),2006-2007,8,8,31,0,231,8,Feb-31,28.87,7.45,23.2,0,0,T20,Bowling
Aizaz Khan (HK),2014-2015,7,7,23,1,147,7,2-Apr,21,6.39,19.7,0,0,T20,Bowling
Arafat Sunny (Ban),2014-2015,5,5,14,0,98,7,Feb-17,14,7,12,0,0,T20,Bowling
TL Chatara (Zim),2010-2014,7,7,26,0,188,7,Feb-21,26.85,7.23,22.2,0,0,T20,Bowling
A Dananjaya (SL),2012-2013,5,5,14,0,95,7,2-Sep,13.57,6.78,12,0,0,T20,Bowling
M de Lange (SA),2012-2015,6,6,23.2,0,228,7,Feb-26,32.57,9.77,20,0,0,T20,Bowling
G Goudie (Scot),2010-2013,9,9,24.5,0,224,7,Mar-22,32,9.02,21.2,0,0,T20,Bowling
AS Hansra (Can),2012-2013,8,6,15,0,94,7,Feb-13,13.42,6.26,12.8,0,0,T20,Bowling
JR Hazlewood (Aus),2013-2014,4,4,16,0,155,7,Apr-30,22.14,9.68,13.7,1,0,T20,Bowling
GB Hogg (Aus),2006-2014,15,15,49,1,373,7,Feb-31,53.28,7.61,42,0,0,T20,Bowling
S Randiv (SL),2010-2011,7,7,21,0,139,7,Mar-20,19.85,6.61,18,0,0,T20,Bowling
TE Kane (Ire),2015-2015,5,3,9.2,0,75,7,Mar-19,10.71,8.03,8,0,0,T20,Bowling
MF Maharoof (SL),2006-2008,7,7,24,0,173,7,Feb-18,24.71,7.2,20.5,0,0,T20,Bowling
CS Martin (NZ),2007-2008,6,6,23,1,193,7,Feb-14,27.57,8.39,19.7,0,0,T20,Bowling
CH Morris (SA),2012-2015,4,4,14,0,116,7,Feb-16,16.57,8.28,12,0,0,T20,Bowling
TJ Murtagh (Ire),2012-2014,7,7,24.4,0,179,7,Feb-24,25.57,7.25,21.1,0,0,T20,Bowling
SR Patel (Eng),2011-2013,18,15,42,0,321,7,2-Jun,45.85,7.64,36,0,0,T20,Bowling
Rubel Hossain (Ban),2009-2014,11,10,33.2,0,313,7,Feb-63,44.71,9.39,28.5,0,0,T20,Bowling
