LPC Silva (SL),2006-2011,16,15,2,175,38,13.46,177,98.87,0,0,0,19,3,T20,Batting
NN Odhiambo (Kenya),2007-2013,24,20,2,174,41,9.66,177,98.3,0,0,3,17,4,T20,Batting
L Vincent (NZ),2006-2007,9,9,0,174,42,19.33,174,100,0,0,1,17,3,T20,Batting
IK Pathan (India),2006-2012,24,14,7,172,33*,24.57,144,119.44,0,0,0,9,7,T20,Batting
Sikandar Raza (Zim),2013-2015,12,11,0,169,36,15.36,171,98.83,0,0,0,13,3,T20,Batting
M Vijay (India),2010-2015,9,9,0,169,48,18.77,154,109.74,0,0,1,13,8,T20,Batting
ME Trescothick (Eng),2005-2006,3,3,0,166,72,55.33,131,126.71,0,2,0,23,1,T20,Batting
MN Waller (Zim),2011-2015,12,11,3,165,49,20.62,127,129.92,0,0,1,14,6,T20,Batting
Umar Gul (Pak),2007-2015,58,26,8,164,32,9.11,155,105.8,0,0,6,11,10,T20,Batting
TN de Grooth (Neth),2008-2013,15,13,5,163,49,20.37,155,105.16,0,0,0,16,1,T20,Batting
G Malla (Nepal),2014-2015,11,11,0,163,48,14.81,160,101.87,0,0,1,22,2,T20,Batting
H Davids (SA),2012-2013,9,9,0,161,68,17.88,134,120.14,0,2,2,18,4,T20,Batting
MS Chapman (HK),2014-2015,7,7,0,159,40,22.71,145,109.65,0,0,0,17,3,T20,Batting
Junaid Siddique (Ban),2007-2012,7,7,0,159,71,22.71,108,147.22,0,1,1,16,7,T20,Batting
RR Watson (Scot),2007-2010,10,9,0,159,54,17.66,141,112.76,0,1,1,22,1,T20,Batting
JL Ontong (SA),2008-2015,14,10,0,158,48,15.8,109,144.95,0,0,1,6,11,T20,Batting
HD Rutherford (NZ),2013-2013,7,6,0,151,62,25.16,104,145.19,0,1,0,12,9,T20,Batting
Sohail Tanvir (Pak),2007-2015,47,20,4,149,41,9.31,126,118.25,0,0,2,12,7,T20,Batting
KMDN Kulasekara (SL),2008-2014,41,20,6,148,31,10.57,122,121.31,0,0,3,8,6,T20,Batting
CJ Anderson (NZ),2012-2014,15,10,1,145,48,16.11,111,130.63,0,0,1,8,9,T20,Batting
Mudassar Bukhari (Neth),2008-2015,34,23,6,143,28*,8.41,146,97.94,0,0,1,9,3,T20,Batting
AC Voges (Aus),2007-2013,7,5,2,139,51,46.33,114,121.92,0,1,0,8,2,T20,Batting
IJL Trott (Eng),2007-2010,7,7,1,138,51,23,144,95.83,0,1,0,9,3,T20,Batting
KD Mills (NZ),2005-2014,42,19,7,137,33*,11.41,123,111.38,0,0,4,11,5,T20,Batting
DF Watts (Scot),2007-2012,11,9,0,137,46,15.22,127,107.87,0,0,2,13,3,T20,Batting
AR White (Ire),2008-2012,18,12,6,137,29,22.83,128,107.03,0,0,0,12,2,T20,Batting
GEF Barnett (Can),2008-2010,5,5,1,131,36,32.75,136,96.32,0,0,0,16,0,T20,Batting
WU Tharanga (SL),2006-2012,10,10,0,131,37,13.1,115,113.91,0,0,2,12,3,T20,Batting
AC Botha (Ire),2008-2010,14,11,1,130,38,13,141,92.19,0,0,2,12,1,T20,Batting
Naeem Islam (Ban),2008-2013,10,10,1,130,28,14.44,114,114.03,0,0,0,8,7,T20,Batting
MM Ali (Eng),2014-2015,8,8,1,129,72*,18.42,101,127.72,0,1,2,14,4,T20,Batting
CK Coventry (Zim),2010-2015,13,12,2,127,30,12.7,90,141.11,0,0,2,14,6,T20,Batting
PG Fulton (NZ),2006-2012,12,12,1,127,25,11.54,140,90.71,0,0,2,7,6,T20,Batting
MA Ouma (Kenya),2007-2013,22,19,1,127,19,7.05,160,79.37,0,0,3,15,1,T20,Batting
MJ Prior (Eng),2007-2010,10,8,2,127,32,21.16,100,127,0,0,1,11,5,T20,Batting
Shaiman Anwar (UAE),2014-2015,6,6,0,127,35,21.16,106,119.81,0,0,0,7,7,T20,Batting
Mirwais Ashraf (Afg),2010-2015,23,17,6,126,28*,11.45,112,112.5,0,0,2,5,8,T20,Batting
AJ Redmond (NZ),2009-2010,7,6,0,126,63,21,84,150,0,1,0,19,2,T20,Batting
TWM Latham (NZ),2012-2015,12,9,0,124,26,13.77,121,102.47,0,0,0,9,1,T20,Batting
RJ Peterson (SA),2006-2014,21,12,4,124,34,15.5,113,109.73,0,0,1,13,2,T20,Batting
AD Mascarenhas (Eng),2007-2009,14,13,5,123,31,15.37,100,123,0,0,3,8,5,T20,Batting
RE van der Merwe (Neth/SA),2009-2015,18,10,5,122,48,24.4,97,125.77,0,0,1,5,7,T20,Batting
