AL Hassett (Aus),1938-1953,43,69,3,3073,198*,46.56,10,11,1,Test,Batting
CG Borde (India),1958-1969,55,97,11,3061,177*,35.59,5,18,13,Test,Batting
Habibul Bashar (Ban),2000-2008,50,99,1,3026,113,30.87,3,24,7,Test,Batting
JC Adams (WI),1992-2001,54,90,17,3012,208*,41.26,6,14,7,Test,Batting
Saeed Ahmed (Pak),1958-1973,41,78,4,2991,172,40.41,5,16,2,Test,Batting
GM Turner (NZ),1969-1983,41,73,6,2991,259,44.64,7,14,1,Test,Batting
Taufeeq Umar (Pak),2001-2014,44,83,5,2963,236,37.98,7,14,6,Test,Batting
AD Nourse (SA),1935-1951,34,62,7,2960,231,53.81,9,14,3,Test,Batting
KR Miller (Aus),1946-1956,55,87,7,2958,147,36.97,7,13,5,Test,Batting
HW Taylor (SA),1912-1932,42,76,4,2936,176,40.77,7,17,2,Test,Batting
AH Jones (NZ),1987-1995,39,74,8,2922,186,44.27,7,11,2,Test,Batting
Wasim Akram (Pak),1985-2002,104,147,19,2898,257*,22.64,3,7,17,Test,Batting
SL Campbell (WI),1995-2002,52,93,4,2882,208,32.38,4,18,7,Test,Batting
AC Parore (NZ),1990-2002,78,128,19,2865,110,26.28,2,14,6,Test,Batting
WW Armstrong (Aus),1902-1921,50,84,10,2863,159*,38.68,6,8,6,Test,Batting
ADR Campbell (Zim),1992-2002,60,109,4,2858,103,27.21,2,18,10,Test,Batting
GR Marsh (Aus),1985-1992,50,93,7,2854,138,33.18,4,15,3,Test,Batting
JE Root (Eng),2012-2015,33,60,9,2851,200*,55.9,8,14,2,Test,Batting
Rameez Raja (Pak),1984-1997,57,94,5,2833,122,31.83,2,22,7,Test,Batting
Aamer Sohail (Pak),1992-2000,47,83,3,2823,205,35.28,5,13,6,Test,Batting
Shakib Al Hasan (Ban),2007-2015,42,78,7,2823,144,39.76,3,19,2,Test,Batting
Wasim Raja (Pak),1973-1985,57,92,14,2821,125,36.16,4,18,8,Test,Batting
KR Stackpole (Aus),1966-1974,43,80,5,2807,207,37.42,7,14,5,Test,Batting
V Kohli (India),2011-2015,37,66,4,2794,169,45.06,11,11,4,Test,Batting
MAK Pataudi (India),1961-1975,46,83,3,2793,203*,34.91,6,16,7,Test,Batting
KC Wessels (Aus/SA),1982-1994,40,71,3,2788,179,41,6,15,5,Test,Batting
NCL O'Neill (Aus),1958-1965,42,69,8,2779,181,45.55,6,15,6,Test,Batting
MH Richardson (NZ),2000-2004,38,65,3,2776,145,44.77,4,19,1,Test,Batting
M Leyland (Eng),1928-1938,41,65,5,2764,187,46.06,9,10,6,Test,Batting
SMH Kirmani (India),1976-1986,88,124,22,2759,102,27.04,2,12,7,Test,Batting
GN Yallop (Aus),1976-1984,39,70,3,2756,268,41.13,8,9,3,Test,Batting
SJ McCabe (Aus),1930-1938,39,62,5,2748,232,48.21,6,13,4,Test,Batting
Moin Khan (Pak),1990-2004,69,104,8,2741,137,28.55,4,15,5,Test,Batting
D Ramdin (WI),2005-2015,70,119,14,2741,166,26.1,4,13,8,Test,Batting
Mohammad Ashraful (Ban),2001-2013,61,119,5,2737,190,24,6,8,16,Test,Batting
B Sutcliffe (NZ),1947-1965,42,76,8,2727,230*,40.1,5,15,5,Test,Batting
Mohsin Khan (Pak),1978-1986,48,79,6,2709,200,37.1,7,9,3,Test,Batting
Shoaib Mohammad (Pak),1983-1995,45,68,7,2705,203*,44.34,7,13,6,Test,Batting
MG Burgess (NZ),1968-1980,50,92,6,2684,119*,31.2,5,14,5,Test,Batting
DM Bravo (WI),2010-2015,38,69,4,2678,218,41.2,6,12,3,Test,Batting
JV Coney (NZ),1974-1987,52,85,14,2668,174*,37.57,3,16,3,Test,Batting
